,id,country,ccode,year,region,protest,protestnumber,protesterviolence,location,participants_category,participants,protesteridentity,arrests,accomodation,beatings,crowddispersal,ignore,killings,no_response,shootings,labor_wage_dispute,land_farm_issue,no_demands,police_brutality,political_behavior_process,price increases_tax_policy,removal_of_politician,social_restrictions,start_date,end_date
16,201997001,Canada,20,1997,North America,1,1,0.0,Ontario,,126000,ontario teachers federation,0,0,0,0,1,0,1,0,1,0,2,0,1,0,0,0,1997-10-28,1997-11-09
17,201997002,Canada,20,1997,North America,1,2,0.0,national,,45000,canadian union of postal workers,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,1997-11-19,1997-12-04
20,202000001,Canada,20,2000,North America,1,1,1.0,"Quebec City, Quebec",,2000,french speaking youths,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2000-02-22,2000-02-23
21,202000002,Canada,20,2000,North America,1,2,0.0,"Saskatoon, Saskatchewan",,400,unspecified,0,1,0,0,0,0,1,0,0,0,3,1,0,0,0,0,2000-02-26,2000-02-26
22,202000003,Canada,20,2000,North America,1,3,0.0,"Edmonton, Alberta",,500,unspecified,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2000-05-09,2000-05-09
23,202000004,Canada,20,2000,North America,1,4,1.0,"Toronto, Ontario",,10s,anti poverty protesters,1,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,2000-06-16,2000-06-16
26,202003001,Canada,20,2003,North America,1,1,1.0,"Shippagan, New Brunswick",,250,crab fishermen,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2003-05-03,2003-05-03
28,202005001,Canada,20,2005,North America,1,1,1.0,Quebec,,170000,college students,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2005-03-03,2005-04-03
29,202005002,Canada,20,2005,North America,1,2,0.0,"Toronto, Ontario",,300,unspecified,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2005-09-10,2005-09-10
30,202006001,Canada,20,2006,North America,1,1,1.0,"Caledonia, Ontario",,200,mohawk indians,0,0,0,1,0,0,1,0,0,0,2,1,1,0,0,0,2006-02-21,2006-08-17
31,202007001,Canada,20,2007,North America,1,1,0.0,national,,1000s,native groups mohawk indians,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2007-06-29,2007-06-29
32,202008001,Canada,20,2008,North America,1,1,1.0,"Montreal, Quebec",,100s,unspecified,0,0,0,1,0,0,1,0,0,0,3,1,0,0,0,0,2008-08-10,2008-08-10
33,202009001,Canada,20,2009,North America,1,1,0.0,"Toronto, Ontario",,12000,tamil canadians,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2009-05-13,2009-05-13
34,202009002,Canada,20,2009,North America,1,2,1.0,"Montreal, Quebec",,200,quebec separatists,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2009-11-10,2009-11-10
35,202010001,Canada,20,2010,North America,1,1,1.0,"Vancouver, British Columbia",,1500,unspecified,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2010-02-12,2010-02-13
36,202011001,Canada,20,2011,North America,1,1,0.0,"Montreal, Quebec",,300,quebec separatists,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2011-07-03,2011-07-03
37,202012001,Canada,20,2012,North America,1,1,1.0,Quebec,,1000s,university students,1,0,0,1,0,0,1,0,0,0,3,0,0,1,0,0,2012-02-10,2012-06-06
40,202015001,Canada,20,2015,North America,1,1,0.0,Whitby,50-99,50+,protesters,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2015-10-06,2015-10-06
41,202016001,Canada,20,2016,North America,1,1,0.0,"Parliament Hill, Ottowa; national",100-999,250-300,taxi drivers against uber,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,2016-02-02,2016-02-02
42,202016002,Canada,20,2016,North America,1,2,0.0,Montreal  Pierre Elliot Trudeau International Airport; national,100-999,hundreds,taxi drivers against uber,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,2016-02-10,2016-02-10
43,202016003,Canada,20,2016,North America,1,3,0.0,"Toronto, Ontario",100-999,more than 200,canadian union of public employees,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,2016-02-25,2016-02-25
44,202016004,Canada,20,2016,North America,1,4,0.0,"Toronto, Ontario",100-999,hundreds,black lives matter,0,0,0,1,0,0,1,0,0,0,3,1,0,0,0,0,2016-03-20,2016-04-04
45,202016005,Canada,20,2016,North America,1,5,0.0,"Toronto, Ontario",50-99,dozens,women,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2016-03-24,2016-03-24
46,202016006,Canada,20,2016,North America,1,6,0.0,"Queen s Park, Toronto",100-999,more than 200,ontario autism coalition,0,1,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2016-04-12,2016-04-12
47,202016007,Canada,20,2016,North America,1,7,0.0,Toronto,50-99,a group,aboriginal activists,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2016-04-14,2016-04-14
48,202016008,Canada,20,2016,North America,1,8,0.0,Toronto,100-999,about 300,concerned ontario doctors,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,2016-04-23,2016-04-23
49,202016009,Canada,20,2016,North America,1,9,0.0,Ottowa; National,100-999,more than 500,black lives matter,0,0,0,0,1,0,1,0,0,0,3,1,0,0,0,0,2016-07-30,2016-07-30
50,202016010,Canada,20,2016,North America,1,10,0.0,Labrador,100-999,busloads,indigenous residents,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2016-10-13,2016-11-11
51,202017001,Canada,20,2017,North America,1,1,0.0,Montreal,50-99,50,muslim council of montreal,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,1,2017-10-01,2017-10-26
52,202018001,Canada,20,2018,North America,1,1,0.0,Saskatchewan,100-999,widespread,indigenous,0,1,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2018-02-09,2018-02-09
53,202018002,Canada,20,2018,North America,1,2,0.0,Toronto; national,2000-4999,thousands,march for our lives,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,1,2018-03-17,2018-03-25
54,202019001,Canada,20,2019,North America,1,1,0.0,British Columbia; national,100-999,100,residents; activists,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,2019-01-07,2019-01-08
55,202019002,Canada,20,2019,North America,1,2,0.0,"Calgary, Alberta",50-99,50,pro pipeline demonstrators,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,2019-01-08,2019-01-08
56,202019003,Canada,20,2019,North America,1,3,0.0,British Columbia,50-99,50,wet suwet en tribe,1,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,2019-01-26,2019-01-26
57,202019004,Canada,20,2019,North America,1,4,0.0,Vancouver,50-99,60,protesters,0,0,0,0,1,0,1,0,0,1,3,0,0,0,0,0,2019-06-18,2019-06-18
58,202019005,Canada,20,2019,North America,1,5,0.0,Edmonton,2000-4999,thousands,lgbt activists,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,1,2019-07-06,2019-07-06
59,202020001,Canada,20,2020,North America,1,1,0.0,"Tyendinaga, Ontario",50-99,50,indigineous tribes; mohawk tribe,1,0,0,1,0,0,1,0,0,1,3,0,0,0,0,0,2020-02-10,2020-02-24
64,401994001,Cuba,40,1994,North America,1,1,1.0,Havana,,1000,unspecified,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,1994-08-05,1994-08-05
69,401999001,Cuba,40,1999,North America,1,1,0.0,Havana,,50,cuban opposition activists,0,0,0,0,1,0,1,0,0,0,3,0,1,0,0,0,1999-06-15,1999-06-15
82,402012001,Cuba,40,2012,North America,1,1,0.0,Havana,,50,anti government activists,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2012-07-24,2012-07-24
84,402014001,Cuba,40,2014,North America,1,1,0.0,Holguin,100-999,100+,artisans and vendors,0,0,1,1,0,0,1,0,1,0,3,0,0,0,0,0,2014-01-21,2014-01-21
85,402014002,Cuba,40,2014,North America,1,2,0.0,Havana,100-999,50+,protesters,1,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,2014-12-30,2014-12-30
86,402015001,Cuba,40,2015,North America,1,1,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-01-04,2015-01-04
87,402015002,Cuba,40,2015,North America,1,2,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-01-11,2015-01-11
88,402015003,Cuba,40,2015,North America,1,3,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-01-18,2015-01-18
89,402015004,Cuba,40,2015,North America,1,4,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-01-25,2015-01-25
90,402015005,Cuba,40,2015,North America,1,5,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-02-01,2015-02-01
91,402015006,Cuba,40,2015,North America,1,6,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-02-08,2015-02-08
92,402015007,Cuba,40,2015,North America,1,7,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-02-15,2015-02-15
93,402015008,Cuba,40,2015,North America,1,8,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-02-22,2015-02-22
94,402015009,Cuba,40,2015,North America,1,9,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-03-01,2015-03-01
95,402015010,Cuba,40,2015,North America,1,10,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-03-08,2015-03-08
96,402015011,Cuba,40,2015,North America,1,11,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-03-15,2015-03-15
97,402015012,Cuba,40,2015,North America,1,12,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-03-22,2015-03-22
98,402015013,Cuba,40,2015,North America,1,13,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-03-29,2015-03-29
99,402015014,Cuba,40,2015,North America,1,14,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-04-05,2015-04-05
100,402015015,Cuba,40,2015,North America,1,15,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-04-12,2015-04-12
101,402015016,Cuba,40,2015,North America,1,16,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-04-19,2015-04-19
102,402015017,Cuba,40,2015,North America,1,17,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-04-26,2015-04-26
103,402015018,Cuba,40,2015,North America,1,18,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-05-03,2015-05-03
104,402015019,Cuba,40,2015,North America,1,19,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-05-10,2015-05-10
105,402015020,Cuba,40,2015,North America,1,20,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-05-17,2015-05-17
106,402015021,Cuba,40,2015,North America,1,21,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-05-24,2015-05-24
107,402015022,Cuba,40,2015,North America,1,22,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-05-31,2015-05-31
108,402015023,Cuba,40,2015,North America,1,23,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-06-07,2015-06-07
109,402015024,Cuba,40,2015,North America,1,24,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-06-14,2015-06-14
110,402015025,Cuba,40,2015,North America,1,25,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-06-21,2015-06-21
111,402015026,Cuba,40,2015,North America,1,26,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-06-28,2015-06-28
112,402015027,Cuba,40,2015,North America,1,27,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-07-05,2015-07-05
113,402015028,Cuba,40,2015,North America,1,28,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-07-12,2015-07-12
114,402015029,Cuba,40,2015,North America,1,29,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-07-19,2015-07-19
115,402015030,Cuba,40,2015,North America,1,30,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-07-26,2015-07-26
116,402015031,Cuba,40,2015,North America,1,31,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-08-02,2015-08-02
117,402015032,Cuba,40,2015,North America,1,32,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-08-09,2015-08-09
118,402015033,Cuba,40,2015,North America,1,33,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-08-16,2015-08-16
119,402015034,Cuba,40,2015,North America,1,34,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-08-23,2015-08-23
120,402015035,Cuba,40,2015,North America,1,35,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-08-30,2015-08-30
121,402015036,Cuba,40,2015,North America,1,36,0.0,Havana,100-999,100+,ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-09-06,2015-09-06
122,402015037,Cuba,40,2015,North America,1,37,0.0,Havana,50-99,50+,protesters and ladies in white,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2015-09-13,2015-09-13
123,402016001,Cuba,40,2016,North America,1,1,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-01-03,2016-01-03
124,402016002,Cuba,40,2016,North America,1,2,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-01-10,2016-01-10
125,402016003,Cuba,40,2016,North America,1,3,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-01-17,2016-01-17
126,402016004,Cuba,40,2016,North America,1,4,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-01-24,2016-01-24
127,402016005,Cuba,40,2016,North America,1,5,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-01-31,2016-01-31
128,402016006,Cuba,40,2016,North America,1,6,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-02-07,2016-02-07
129,402016007,Cuba,40,2016,North America,1,7,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-02-14,2016-02-14
130,402016008,Cuba,40,2016,North America,1,8,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-02-21,2016-02-21
131,402016009,Cuba,40,2016,North America,1,9,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-02-28,2016-02-28
132,402016010,Cuba,40,2016,North America,1,10,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-03-06,2016-03-06
133,402016011,Cuba,40,2016,North America,1,11,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-03-13,2016-03-13
134,402016012,Cuba,40,2016,North America,1,12,0.0,"Santa Rita church, Havana",50-99,dozens,ladies in white,1,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,2016-03-20,2016-03-20
135,402016013,Cuba,40,2016,North America,1,13,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-03-27,2016-03-27
136,402016014,Cuba,40,2016,North America,1,14,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-04-03,2016-04-03
137,402016015,Cuba,40,2016,North America,1,15,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-04-10,2016-04-10
138,402016016,Cuba,40,2016,North America,1,16,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-04-17,2016-04-17
139,402016017,Cuba,40,2016,North America,1,17,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-04-24,2016-04-24
140,402016018,Cuba,40,2016,North America,1,18,0.0,Havana,50-99,dozens,ladies in white,0,0,1,1,0,0,1,0,0,0,2,0,1,0,1,0,2016-05-01,2016-05-01
141,402016019,Cuba,40,2016,North America,1,19,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-05-08,2016-05-08
142,402016020,Cuba,40,2016,North America,1,20,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-05-15,2016-05-15
143,402016021,Cuba,40,2016,North America,1,21,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-05-22,2016-05-22
144,402016022,Cuba,40,2016,North America,1,22,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-05-29,2016-05-29
145,402016023,Cuba,40,2016,North America,1,23,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-06-05,2016-06-05
146,402016024,Cuba,40,2016,North America,1,24,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-06-12,2016-06-12
147,402016025,Cuba,40,2016,North America,1,25,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-06-19,2016-06-19
148,402016026,Cuba,40,2016,North America,1,26,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-06-26,2016-06-26
149,402016027,Cuba,40,2016,North America,1,27,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-07-03,2016-07-03
150,402016028,Cuba,40,2016,North America,1,28,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-07-10,2016-07-10
151,402016029,Cuba,40,2016,North America,1,29,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-07-17,2016-07-17
152,402016030,Cuba,40,2016,North America,1,30,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-07-24,2016-07-24
153,402016031,Cuba,40,2016,North America,1,31,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-07-31,2016-07-31
154,402016032,Cuba,40,2016,North America,1,32,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-08-07,2016-08-07
155,402016033,Cuba,40,2016,North America,1,33,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-08-14,2016-08-14
156,402016034,Cuba,40,2016,North America,1,34,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-08-21,2016-08-21
157,402016035,Cuba,40,2016,North America,1,35,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-08-28,2016-08-28
158,402016036,Cuba,40,2016,North America,1,36,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-09-04,2016-09-04
159,402016037,Cuba,40,2016,North America,1,37,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-09-11,2016-09-11
160,402016038,Cuba,40,2016,North America,1,38,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-09-18,2016-09-18
161,402016039,Cuba,40,2016,North America,1,39,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-09-25,2016-09-25
162,402016040,Cuba,40,2016,North America,1,40,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-10-02,2016-10-02
163,402016041,Cuba,40,2016,North America,1,41,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-10-09,2016-10-09
164,402016042,Cuba,40,2016,North America,1,42,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-10-16,2016-10-16
165,402016043,Cuba,40,2016,North America,1,43,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-10-23,2016-10-23
166,402016044,Cuba,40,2016,North America,1,44,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-10-30,2016-10-30
167,402016045,Cuba,40,2016,North America,1,45,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-11-06,2016-11-06
168,402016046,Cuba,40,2016,North America,1,46,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-11-13,2016-11-13
169,402016047,Cuba,40,2016,North America,1,47,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-11-20,2016-11-20
170,402016048,Cuba,40,2016,North America,1,48,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-11-27,2016-11-27
171,402016049,Cuba,40,2016,North America,1,49,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-12-04,2016-12-04
172,402016050,Cuba,40,2016,North America,1,50,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-12-11,2016-12-11
173,402016051,Cuba,40,2016,North America,1,51,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-12-18,2016-12-18
174,402016052,Cuba,40,2016,North America,1,52,0.0,Havana,50-99,dozens,dissidents opposition,1,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,2016-12-19,2016-12-19
175,402016053,Cuba,40,2016,North America,1,53,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2016-12-25,2016-12-25
176,402017001,Cuba,40,2017,North America,1,1,0.0,Havana,50-99,dozens,ladies in white,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,2017-01-01,2017-01-01
